timestamp=2025-12-04T13:41:05.243Z level=INFO fiber=#0 message="Starting Salesforce Metadata API scraper (visible: false, browsers: 5, concurrency: 20, total: 100)"
timestamp=2025-12-04T13:41:08.637Z level=INFO fiber=#352 message="[64/566] AppMenu → Browser 4"
timestamp=2025-12-04T13:41:08.642Z level=INFO fiber=#383 message="[95/566] CareRequestConfiguration → Browser 5"
timestamp=2025-12-04T13:41:08.763Z level=INFO fiber=#355 message="[67/566] ApprovalProcess → Browser 2"
timestamp=2025-12-04T13:41:09.154Z level=INFO fiber=#331 message="[43/566] AffinityScoreDefinition → Browser 3"
timestamp=2025-12-04T13:41:09.301Z level=INFO fiber=#357 message="[69/566] AssessmentQuestion → Browser 4"
timestamp=2025-12-04T13:41:09.302Z level=INFO fiber=#372 message="[84/566] BriefcaseDefinition → Browser 4"
timestamp=2025-12-04T13:41:09.306Z level=INFO fiber=#292 message="[4/566] ActivationPlatformField → Browser 4"
timestamp=2025-12-04T13:41:09.313Z level=INFO fiber=#308 message="[20/566] DataSrcDataModelFieldMap → Browser 5"
timestamp=2025-12-04T13:41:09.315Z level=INFO fiber=#334 message="[46/566] AIScoringModelDefinition → Browser 1"
timestamp=2025-12-04T13:41:24.482Z level=INFO fiber=#292 message="[101/566] CleanDataService → Browser 4"
timestamp=2025-12-04T13:41:26.238Z level=INFO fiber=#316 message="[102/566] CMSConnectSource → Browser 3"
timestamp=2025-12-04T13:41:26.268Z level=INFO fiber=#365 message="[103/566] Community (Zone) → Browser 2"
timestamp=2025-12-04T13:41:26.268Z level=INFO fiber=#290 message="[104/566] CommerceSettings → Browser 2"
timestamp=2025-12-04T13:41:26.288Z level=INFO fiber=#382 message="[105/566] CommunityTemplateDefinition → Browser 4"
timestamp=2025-12-04T13:41:26.312Z level=INFO fiber=#330 message="[106/566] CommunityThemeDefinition → Browser 2"
timestamp=2025-12-04T13:41:26.459Z level=INFO fiber=#378 message="[107/566] ConnectedApp → Browser 5"
timestamp=2025-12-04T13:41:26.469Z level=INFO fiber=#353 message="[108/566] ContentAsset → Browser 5"
timestamp=2025-12-04T13:41:26.681Z level=INFO fiber=#342 message="[109/566] ContentTypeBundle → Browser 4"
timestamp=2025-12-04T13:41:26.768Z level=INFO fiber=#304 message="[112/566] ConversationMessageDefinitionTranslation → Browser 1"
timestamp=2025-12-04T13:41:26.976Z level=INFO fiber=#297 message="[111/566] ConversationMessageDefinition → Browser 4"
timestamp=2025-12-04T13:41:27.504Z level=INFO fiber=#324 message="[119/566] CustomFeedFilter → Browser 1"
timestamp=2025-12-04T13:41:27.504Z level=INFO fiber=#306 message="[122/566] CustomIndex → Browser 3"
timestamp=2025-12-04T13:41:27.569Z level=INFO fiber=#369 message="[121/566] CustomHelpMenuSection → Browser 1"
timestamp=2025-12-04T13:41:27.570Z level=INFO fiber=#321 message="[129/566] BusinessProcess → Browser 3"
timestamp=2025-12-04T13:41:27.610Z level=INFO fiber=#296 message="[131/566] CustomField → Browser 3"
timestamp=2025-12-04T13:41:27.643Z level=INFO fiber=#358 message="[115/566] CorsWhitelistOrigin → Browser 5"
timestamp=2025-12-04T13:41:27.653Z level=INFO fiber=#359 message="[126/566] CustomNotificationType → Browser 1"
timestamp=2025-12-04T13:41:27.655Z level=INFO fiber=#364 message="[127/566] CustomObject → Browser 1"
timestamp=2025-12-04T13:41:27.659Z level=INFO fiber=#294 message="[128/566] ActionOverride → Browser 1"
timestamp=2025-12-04T13:41:27.730Z level=INFO fiber=#374 message="[130/566] CompactLayout → Browser 1"
timestamp=2025-12-04T13:41:27.995Z level=INFO fiber=#318 message="[117/566] CustomApplication → Browser 5"
timestamp=2025-12-04T13:41:28.029Z level=INFO fiber=#363 message="[118/566] CustomApplicationComponent → Browser 5"
timestamp=2025-12-04T13:41:28.420Z level=INFO fiber=#360 message="[110/566] ContextDefinition → Browser 2"
timestamp=2025-12-04T13:41:28.513Z level=INFO fiber=#377 message="[114/566] ConvIntelligenceSignalRule → Browser 4"
timestamp=2025-12-04T13:41:28.537Z level=INFO fiber=#293 message="[120/566] CustomFieldDisplay → Browser 5"
timestamp=2025-12-04T13:41:28.823Z level=INFO fiber=#323 message="[123/566] CustomLabels → Browser 5"
timestamp=2025-12-04T13:41:29.270Z level=INFO fiber=#387 message="[116/566] CspTrustedSite → Browser 4"
timestamp=2025-12-04T13:41:29.517Z level=INFO fiber=#370 message="[113/566] ConversationVendorInfo → Browser 2"
timestamp=2025-12-04T13:41:29.697Z level=INFO fiber=#303 message="[132/566] FieldSet → Browser 5"
timestamp=2025-12-04T13:41:29.744Z level=INFO fiber=#380 message="[124/566] Custom Metadata Types (CustomObject) → Browser 2"
timestamp=2025-12-04T13:41:29.746Z level=INFO fiber=#362 message="[125/566] CustomMetadata → Browser 4"
timestamp=2025-12-04T13:41:29.787Z level=INFO fiber=#325 message="[140/566] SearchLayouts → Browser 2"
timestamp=2025-12-04T13:41:30.224Z level=INFO fiber=#322 message="[134/566] Index → Browser 4"
timestamp=2025-12-04T13:41:30.238Z level=INFO fiber=#302 message="[152/566] Dashboard → Browser 4"
timestamp=2025-12-04T13:41:30.239Z level=INFO fiber=#337 message="[154/566] DataObjectSearchIndexConf → Browser 4"
timestamp=2025-12-04T13:41:30.240Z level=INFO fiber=#332 message="[153/566] DataCategoryGroup → Browser 4"
timestamp=2025-12-04T13:41:30.302Z level=INFO fiber=#381 message="[136/566] NamedFilter → Browser 3"
timestamp=2025-12-04T13:41:30.303Z level=INFO fiber=#366 message="[137/566] Picklist (Including Dependent Picklist) → Browser 3"
timestamp=2025-12-04T13:41:30.303Z level=INFO fiber=#326 message="[138/566] ProfileSearchLayouts → Browser 3"
timestamp=2025-12-04T13:41:30.304Z level=INFO fiber=#336 message="[139/566] RecordType → Browser 3"
timestamp=2025-12-04T13:41:30.315Z level=INFO fiber=#346 message="[155/566] DataWeaveResource → Browser 3"
timestamp=2025-12-04T13:41:30.316Z level=INFO fiber=#311 message="[156/566] DecisionTable → Browser 3"
timestamp=2025-12-04T13:41:30.317Z level=INFO fiber=#356 message="[157/566] DecisionTableDatasetLink → Browser 3"
timestamp=2025-12-04T13:41:30.318Z level=INFO fiber=#376 message="[158/566] DecisionMatrixDefinition → Browser 3"
timestamp=2025-12-04T13:41:30.319Z level=INFO fiber=#371 message="[159/566] DelegateGroup → Browser 3"
timestamp=2025-12-04T13:41:30.320Z level=INFO fiber=#341 message="[160/566] DgtAssetMgmtProvider → Browser 3"
timestamp=2025-12-04T13:41:30.320Z level=INFO fiber=#331 message="[161/566] DgtAssetMgmtPrvdLghtCpnt → Browser 3"
timestamp=2025-12-04T13:41:30.320Z level=INFO fiber=#386 message="[162/566] DigitalExperienceBundle → Browser 3"
timestamp=2025-12-04T13:41:30.323Z level=INFO fiber=#351 message="[171/566] DiscoveryStory → Browser 3"
timestamp=2025-12-04T13:41:30.325Z level=INFO fiber=#301 message="[172/566] Document → Browser 3"
timestamp=2025-12-04T13:41:30.326Z level=INFO fiber=#361 message="[173/566] DocumentCategory → Browser 3"
timestamp=2025-12-04T13:41:31.683Z level=INFO fiber=#309 message="[133/566] HistoryRetentionPolicy → Browser 1"
timestamp=2025-12-04T13:41:31.768Z level=INFO fiber=#347 message="[165/566] DigitalExperienceConfig → Browser 4"
timestamp=2025-12-04T13:41:31.799Z level=INFO fiber=#312 message="[166/566] DisclosureDefinition → Browser 4"
timestamp=2025-12-04T13:41:33.127Z level=INFO fiber=#320 message="[164/566] DigitalExperienceBundle: Site Workspace Bundle and Folders → Browser 2"
timestamp=2025-12-04T13:41:33.139Z level=INFO fiber=#340 message="[163/566] DigitalExperienceBundle: Marketing Workspace Bundle and Folders → Browser 2"
timestamp=2025-12-04T13:41:33.224Z level=INFO fiber=#300 message="[174/566] DocumentCategoryDocumentType → Browser 2"
timestamp=2025-12-04T13:41:33.265Z level=INFO fiber=#305 message="[179/566] EmailServicesFunction → Browser 2"
timestamp=2025-12-04T13:41:33.265Z level=INFO fiber=#385 message="[180/566] EmailTemplate → Browser 2"
timestamp=2025-12-04T13:41:33.266Z level=INFO fiber=#295 message="[181/566] EmbeddedServiceBranding → Browser 2"
timestamp=2025-12-04T13:41:33.266Z level=INFO fiber=#375 message="[182/566] EmbeddedServiceConfig → Browser 2"
timestamp=2025-12-04T13:41:33.267Z level=INFO fiber=#335 message="[183/566] EmbeddedServiceFieldService → Browser 2"
timestamp=2025-12-04T13:41:33.330Z level=INFO fiber=#333 message="[141/566] SharingReason → Browser 5"
timestamp=2025-12-04T13:41:33.413Z level=INFO fiber=#345 message="[190/566] EntitlementProcess → Browser 2"
timestamp=2025-12-04T13:41:33.423Z level=INFO fiber=#310 message="[191/566] EntitlementTemplate → Browser 2"
timestamp=2025-12-04T13:41:33.424Z level=INFO fiber=#350 message="[192/566] EscalationRules → Browser 2"
timestamp=2025-12-04T13:41:33.429Z level=INFO fiber=#355 message="[193/566] EventDelivery → Browser 2"
timestamp=2025-12-04T13:41:33.439Z level=INFO fiber=#344 message="[135/566] ListView → Browser 1"
timestamp=2025-12-04T13:41:33.446Z level=INFO fiber=#299 message="[142/566] SharingRecalculation → Browser 1"
timestamp=2025-12-04T13:41:33.497Z level=INFO fiber=#354 message="[143/566] ValidationRule → Browser 1"
timestamp=2025-12-04T13:41:33.498Z level=INFO fiber=#349 message="[144/566] WebLink → Browser 1"
timestamp=2025-12-04T13:41:33.503Z level=INFO fiber=#329 message="[145/566] Metadata Field Types → Browser 1"
timestamp=2025-12-04T13:41:33.506Z level=INFO fiber=#384 message="[146/566] CustomObjectTranslation → Browser 1"
timestamp=2025-12-04T13:41:33.548Z level=INFO fiber=#314 message="[147/566] CustomPageWebLink → Browser 1"
timestamp=2025-12-04T13:41:33.551Z level=INFO fiber=#319 message="[148/566] CustomPermission → Browser 1"
timestamp=2025-12-04T13:41:33.552Z level=INFO fiber=#379 message="[149/566] CustomSite → Browser 1"
timestamp=2025-12-04T13:41:33.595Z level=INFO fiber=#334 message="[150/566] CustomTab → Browser 1"
timestamp=2025-12-04T13:41:33.604Z level=INFO fiber=#339 message="[151/566] CustomValue → Browser 1"
timestamp=2025-12-04T13:41:34.207Z level=INFO fiber=#367 message="[175/566] DocumentChecklistSettings → Browser 4"
timestamp=2025-12-04T13:41:34.209Z level=INFO fiber=#357 message="[176/566] DocumentType → Browser 4"
timestamp=2025-12-04T13:41:34.252Z level=INFO fiber=#327 message="[177/566] DuplicateRule → Browser 4"
